team_abbr,position,player_id,order
ARI,QB,1000,1
ARI,RB,1001,1
ARI,WR,1002,1
ARI,WR,1003,2
ARI,WR,1004,3
ARI,TE,1005,1
ARI,LT,1006,1
ARI,LG,1007,1
ARI,C,1008,1
ARI,RG,1009,1
ARI,RT,1010,1
ARI,EDGE,1011,1
ARI,DL,1012,1
ARI,LB,1013,1
ARI,CB,1014,1
ARI,S,1015,1
ARI,K,1016,1
ARI,P,1017,1
ATL,QB,1018,1
ATL,RB,1019,1
ATL,WR,1020,1
ATL,WR,1021,2
ATL,WR,1022,3
ATL,TE,1023,1
ATL,LT,1024,1
ATL,LG,1025,1
ATL,C,1026,1
ATL,RG,1027,1
ATL,RT,1028,1
ATL,EDGE,1029,1
ATL,DL,1030,1
ATL,LB,1031,1
ATL,CB,1032,1
ATL,S,1033,1
ATL,K,1034,1
ATL,P,1035,1
BAL,QB,1036,1
BAL,RB,1037,1
BAL,WR,1038,1
BAL,WR,1039,2
BAL,WR,1040,3
BAL,TE,1041,1
BAL,LT,1042,1
BAL,LG,1043,1
BAL,C,1044,1
BAL,RG,1045,1
BAL,RT,1046,1
BAL,EDGE,1047,1
BAL,DL,1048,1
BAL,LB,1049,1
BAL,CB,1050,1
BAL,S,1051,1
BAL,K,1052,1
BAL,P,1053,1
BUF,QB,1054,1
BUF,RB,1055,1
BUF,WR,1056,1
BUF,WR,1057,2
BUF,WR,1058,3
BUF,TE,1059,1
BUF,LT,1060,1
BUF,LG,1061,1
BUF,C,1062,1
BUF,RG,1063,1
BUF,RT,1064,1
BUF,EDGE,1065,1
BUF,DL,1066,1
BUF,LB,1067,1
BUF,CB,1068,1
BUF,S,1069,1
BUF,K,1070,1
BUF,P,1071,1
CAR,QB,1072,1
CAR,RB,1073,1
CAR,WR,1074,1
CAR,WR,1075,2
CAR,WR,1076,3
CAR,TE,1077,1
CAR,LT,1078,1
CAR,LG,1079,1
CAR,C,1080,1
CAR,RG,1081,1
CAR,RT,1082,1
CAR,EDGE,1083,1
CAR,DL,1084,1
CAR,LB,1085,1
CAR,CB,1086,1
CAR,S,1087,1
CAR,K,1088,1
CAR,P,1089,1
CHI,QB,1090,1
CHI,RB,1091,1
CHI,WR,1092,1
CHI,WR,1093,2
CHI,WR,1094,3
CHI,TE,1095,1
CHI,LT,1096,1
CHI,LG,1097,1
CHI,C,1098,1
CHI,RG,1099,1
CHI,RT,1100,1
CHI,EDGE,1101,1
CHI,DL,1102,1
CHI,LB,1103,1
CHI,CB,1104,1
CHI,S,1105,1
CHI,K,1106,1
CHI,P,1107,1
CIN,QB,1108,1
CIN,RB,1109,1
CIN,WR,1110,1
CIN,WR,1111,2
CIN,WR,1112,3
CIN,TE,1113,1
CIN,LT,1114,1
CIN,LG,1115,1
CIN,C,1116,1
CIN,RG,1117,1
CIN,RT,1118,1
CIN,EDGE,1119,1
CIN,DL,1120,1
CIN,LB,1121,1
CIN,CB,1122,1
CIN,S,1123,1
CIN,K,1124,1
CIN,P,1125,1
CLE,QB,1126,1
CLE,RB,1127,1
CLE,WR,1128,1
CLE,WR,1129,2
CLE,WR,1130,3
CLE,TE,1131,1
CLE,LT,1132,1
CLE,LG,1133,1
CLE,C,1134,1
CLE,RG,1135,1
CLE,RT,1136,1
CLE,EDGE,1137,1
CLE,DL,1138,1
CLE,LB,1139,1
CLE,CB,1140,1
CLE,S,1141,1
CLE,K,1142,1
CLE,P,1143,1
DAL,QB,1144,1
DAL,RB,1145,1
DAL,WR,1146,1
DAL,WR,1147,2
DAL,WR,1148,3
DAL,TE,1149,1
DAL,LT,1150,1
DAL,LG,1151,1
DAL,C,1152,1
DAL,RG,1153,1
DAL,RT,1154,1
DAL,EDGE,1155,1
DAL,DL,1156,1
DAL,LB,1157,1
DAL,CB,1158,1
DAL,S,1159,1
DAL,K,1160,1
DAL,P,1161,1
DEN,QB,1162,1
DEN,RB,1163,1
DEN,WR,1164,1
DEN,WR,1165,2
DEN,WR,1166,3
DEN,TE,1167,1
DEN,LT,1168,1
DEN,LG,1169,1
DEN,C,1170,1
DEN,RG,1171,1
DEN,RT,1172,1
DEN,EDGE,1173,1
DEN,DL,1174,1
DEN,LB,1175,1
DEN,CB,1176,1
DEN,S,1177,1
DEN,K,1178,1
DEN,P,1179,1
DET,QB,1180,1
DET,RB,1181,1
DET,WR,1182,1
DET,WR,1183,2
DET,WR,1184,3
DET,TE,1185,1
DET,LT,1186,1
DET,LG,1187,1
DET,C,1188,1
DET,RG,1189,1
DET,RT,1190,1
DET,EDGE,1191,1
DET,DL,1192,1
DET,LB,1193,1
DET,CB,1194,1
DET,S,1195,1
DET,K,1196,1
DET,P,1197,1
GB,QB,1198,1
GB,RB,1199,1
GB,WR,1200,1
GB,WR,1201,2
GB,WR,1202,3
GB,TE,1203,1
GB,LT,1204,1
GB,LG,1205,1
GB,C,1206,1
GB,RG,1207,1
GB,RT,1208,1
GB,EDGE,1209,1
GB,DL,1210,1
GB,LB,1211,1
GB,CB,1212,1
GB,S,1213,1
GB,K,1214,1
GB,P,1215,1
HOU,QB,1216,1
HOU,RB,1217,1
HOU,WR,1218,1
HOU,WR,1219,2
HOU,WR,1220,3
HOU,TE,1221,1
HOU,LT,1222,1
HOU,LG,1223,1
HOU,C,1224,1
HOU,RG,1225,1
HOU,RT,1226,1
HOU,EDGE,1227,1
HOU,DL,1228,1
HOU,LB,1229,1
HOU,CB,1230,1
HOU,S,1231,1
HOU,K,1232,1
HOU,P,1233,1
IND,QB,1234,1
IND,RB,1235,1
IND,WR,1236,1
IND,WR,1237,2
IND,WR,1238,3
IND,TE,1239,1
IND,LT,1240,1
IND,LG,1241,1
IND,C,1242,1
IND,RG,1243,1
IND,RT,1244,1
IND,EDGE,1245,1
IND,DL,1246,1
IND,LB,1247,1
IND,CB,1248,1
IND,S,1249,1
IND,K,1250,1
IND,P,1251,1
JAX,QB,1252,1
JAX,RB,1253,1
JAX,WR,1254,1
JAX,WR,1255,2
JAX,WR,1256,3
JAX,TE,1257,1
JAX,LT,1258,1
JAX,LG,1259,1
JAX,C,1260,1
JAX,RG,1261,1
JAX,RT,1262,1
JAX,EDGE,1263,1
JAX,DL,1264,1
JAX,LB,1265,1
JAX,CB,1266,1
JAX,S,1267,1
JAX,K,1268,1
JAX,P,1269,1
KC,QB,1270,1
KC,RB,1271,1
KC,WR,1272,1
KC,WR,1273,2
KC,WR,1274,3
KC,TE,1275,1
KC,LT,1276,1
KC,LG,1277,1
KC,C,1278,1
KC,RG,1279,1
KC,RT,1280,1
KC,EDGE,1281,1
KC,DL,1282,1
KC,LB,1283,1
KC,CB,1284,1
KC,S,1285,1
KC,K,1286,1
KC,P,1287,1
LAC,QB,1288,1
LAC,RB,1289,1
LAC,WR,1290,1
LAC,WR,1291,2
LAC,WR,1292,3
LAC,TE,1293,1
LAC,LT,1294,1
LAC,LG,1295,1
LAC,C,1296,1
LAC,RG,1297,1
LAC,RT,1298,1
LAC,EDGE,1299,1
LAC,DL,1300,1
LAC,LB,1301,1
LAC,CB,1302,1
LAC,S,1303,1
LAC,K,1304,1
LAC,P,1305,1
LAR,QB,1306,1
LAR,RB,1307,1
LAR,WR,1308,1
LAR,WR,1309,2
LAR,WR,1310,3
LAR,TE,1311,1
LAR,LT,1312,1
LAR,LG,1313,1
LAR,C,1314,1
LAR,RG,1315,1
LAR,RT,1316,1
LAR,EDGE,1317,1
LAR,DL,1318,1
LAR,LB,1319,1
LAR,CB,1320,1
LAR,S,1321,1
LAR,K,1322,1
LAR,P,1323,1
LV,QB,1324,1
LV,RB,1325,1
LV,WR,1326,1
LV,WR,1327,2
LV,WR,1328,3
LV,TE,1329,1
LV,LT,1330,1
LV,LG,1331,1
LV,C,1332,1
LV,RG,1333,1
LV,RT,1334,1
LV,EDGE,1335,1
LV,DL,1336,1
LV,LB,1337,1
LV,CB,1338,1
LV,S,1339,1
LV,K,1340,1
LV,P,1341,1
MIA,QB,1342,1
MIA,RB,1343,1
MIA,WR,1344,1
MIA,WR,1345,2
MIA,WR,1346,3
MIA,TE,1347,1
MIA,LT,1348,1
MIA,LG,1349,1
MIA,C,1350,1
MIA,RG,1351,1
MIA,RT,1352,1
MIA,EDGE,1353,1
MIA,DL,1354,1
MIA,LB,1355,1
MIA,CB,1356,1
MIA,S,1357,1
MIA,K,1358,1
MIA,P,1359,1
MIN,QB,1360,1
MIN,RB,1361,1
MIN,WR,1362,1
MIN,WR,1363,2
MIN,WR,1364,3
MIN,TE,1365,1
MIN,LT,1366,1
MIN,LG,1367,1
MIN,C,1368,1
MIN,RG,1369,1
MIN,RT,1370,1
MIN,EDGE,1371,1
MIN,DL,1372,1
MIN,LB,1373,1
MIN,CB,1374,1
MIN,S,1375,1
MIN,K,1376,1
MIN,P,1377,1
NE,QB,1378,1
NE,RB,1379,1
NE,WR,1380,1
NE,WR,1381,2
NE,WR,1382,3
NE,TE,1383,1
NE,LT,1384,1
NE,LG,1385,1
NE,C,1386,1
NE,RG,1387,1
NE,RT,1388,1
NE,EDGE,1389,1
NE,DL,1390,1
NE,LB,1391,1
NE,CB,1392,1
NE,S,1393,1
NE,K,1394,1
NE,P,1395,1
NO,QB,1396,1
NO,RB,1397,1
NO,WR,1398,1
NO,WR,1399,2
NO,WR,1400,3
NO,TE,1401,1
NO,LT,1402,1
NO,LG,1403,1
NO,C,1404,1
NO,RG,1405,1
NO,RT,1406,1
NO,EDGE,1407,1
NO,DL,1408,1
NO,LB,1409,1
NO,CB,1410,1
NO,S,1411,1
NO,K,1412,1
NO,P,1413,1
NYG,QB,1414,1
NYG,RB,1415,1
NYG,WR,1416,1
NYG,WR,1417,2
NYG,WR,1418,3
NYG,TE,1419,1
NYG,LT,1420,1
NYG,LG,1421,1
NYG,C,1422,1
NYG,RG,1423,1
NYG,RT,1424,1
NYG,EDGE,1425,1
NYG,DL,1426,1
NYG,LB,1427,1
NYG,CB,1428,1
NYG,S,1429,1
NYG,K,1430,1
NYG,P,1431,1
NYJ,QB,1432,1
NYJ,RB,1433,1
NYJ,WR,1434,1
NYJ,WR,1435,2
NYJ,WR,1436,3
NYJ,TE,1437,1
NYJ,LT,1438,1
NYJ,LG,1439,1
NYJ,C,1440,1
NYJ,RG,1441,1
NYJ,RT,1442,1
NYJ,EDGE,1443,1
NYJ,DL,1444,1
NYJ,LB,1445,1
NYJ,CB,1446,1
NYJ,S,1447,1
NYJ,K,1448,1
NYJ,P,1449,1
PHI,QB,1450,1
PHI,RB,1451,1
PHI,WR,1452,1
PHI,WR,1453,2
PHI,WR,1454,3
PHI,TE,1455,1
PHI,LT,1456,1
PHI,LG,1457,1
PHI,C,1458,1
PHI,RG,1459,1
PHI,RT,1460,1
PHI,EDGE,1461,1
PHI,DL,1462,1
PHI,LB,1463,1
PHI,CB,1464,1
PHI,S,1465,1
PHI,K,1466,1
PHI,P,1467,1
PIT,QB,1468,1
PIT,RB,1469,1
PIT,WR,1470,1
PIT,WR,1471,2
PIT,WR,1472,3
PIT,TE,1473,1
PIT,LT,1474,1
PIT,LG,1475,1
PIT,C,1476,1
PIT,RG,1477,1
PIT,RT,1478,1
PIT,EDGE,1479,1
PIT,DL,1480,1
PIT,LB,1481,1
PIT,CB,1482,1
PIT,S,1483,1
PIT,K,1484,1
PIT,P,1485,1
SEA,QB,1486,1
SEA,RB,1487,1
SEA,WR,1488,1
SEA,WR,1489,2
SEA,WR,1490,3
SEA,TE,1491,1
SEA,LT,1492,1
SEA,LG,1493,1
SEA,C,1494,1
SEA,RG,1495,1
SEA,RT,1496,1
SEA,EDGE,1497,1
SEA,DL,1498,1
SEA,LB,1499,1
SEA,CB,1500,1
SEA,S,1501,1
SEA,K,1502,1
SEA,P,1503,1
SF,QB,1504,1
SF,RB,1505,1
SF,WR,1506,1
SF,WR,1507,2
SF,WR,1508,3
SF,TE,1509,1
SF,LT,1510,1
SF,LG,1511,1
SF,C,1512,1
SF,RG,1513,1
SF,RT,1514,1
SF,EDGE,1515,1
SF,DL,1516,1
SF,LB,1517,1
SF,CB,1518,1
SF,S,1519,1
SF,K,1520,1
SF,P,1521,1
TB,QB,1522,1
TB,RB,1523,1
TB,WR,1524,1
TB,WR,1525,2
TB,WR,1526,3
TB,TE,1527,1
TB,LT,1528,1
TB,LG,1529,1
TB,C,1530,1
TB,RG,1531,1
TB,RT,1532,1
TB,EDGE,1533,1
TB,DL,1534,1
TB,LB,1535,1
TB,CB,1536,1
TB,S,1537,1
TB,K,1538,1
TB,P,1539,1
TEN,QB,1540,1
TEN,RB,1541,1
TEN,WR,1542,1
TEN,WR,1543,2
TEN,WR,1544,3
TEN,TE,1545,1
TEN,LT,1546,1
TEN,LG,1547,1
TEN,C,1548,1
TEN,RG,1549,1
TEN,RT,1550,1
TEN,EDGE,1551,1
TEN,DL,1552,1
TEN,LB,1553,1
TEN,CB,1554,1
TEN,S,1555,1
TEN,K,1556,1
TEN,P,1557,1
WAS,QB,1558,1
WAS,RB,1559,1
WAS,WR,1560,1
WAS,WR,1561,2
WAS,WR,1562,3
WAS,TE,1563,1
WAS,LT,1564,1
WAS,LG,1565,1
WAS,C,1566,1
WAS,RG,1567,1
WAS,RT,1568,1
WAS,EDGE,1569,1
WAS,DL,1570,1
WAS,LB,1571,1
WAS,CB,1572,1
WAS,S,1573,1
WAS,K,1574,1
WAS,P,1575,1
